"Source:","C:\Users\Toohka\Documents\.DEV\SSTCGV\SSTCGV.kicad_sch"
"Date:","25.02.2022 11:00:10"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C2","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C3","100pf","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C4","100nF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C5","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C6","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C7","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C8","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C9","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C10","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C11","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"","","C12","tun","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
